Meter,SampleDate,SampleId,Region,SiteCode,TidalHeight,Transect,Blade,LongestBladeLength,LongestBladeWidth,SheathLength,ScannedBladeLength,ScannedBladeWidth,PrevalenceHand,GrazingScars,BrokenTip,EpiphyteDryMass,BladeAreaHand,Notes,Year,NumberLeaves,Prevalence,LesionArea,HealthyArea,BladeArea,Severity,EpiphytePerAreagcm2,EpiphytePerAreamgcm2,CanopyHeight,Epifauna_all,Epifauna_large,TempAnomWarm_April,TempAnomWarm_May,EpiphytePerAreaMeadowMg,TempAnomWarm_June,MonthlyMeanTemp_June,DensityLog,Ampithoid_all,Ampithoid_large,Lacuna_all,Lacuna_large,Idoteid_all,Idoteid_large,Latitude,Richness_all,Richness_large,TidalHeightBinary,YearBinary,Meadow
m12,2019-07-15,WA.B.1.U.18,WA,B,U,1,18,1093,8,246,NA,NA,1,NA,N,0.0682,NA,NA,2019,NA,1,7.18115232,57.17169835,64.35285067,0.111590275259519,0.0010597821120579118,1.0597821120579118,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m16,2019-07-15,WA.B.1.U.19,WA,B,U,1,19,647,8.5,142,NA,NA,1,NA,Y,1.499,NA,NA,2019,NA,1,1.256831994,36.10103429,37.357866284,0.0336430347612837,0.04012541799374678,40.12541799374678,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m20,2019-07-15,WA.B.1.U.20,WA,B,U,1,20,834,7,152,NA,NA,1,NA,N,0.0950000000000002,NA,NA,2019,NA,0,0,44.95187419,44.95187419,0,0.0021133712823287335,2.1133712823287336,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m4,2019-07-15,WA.B.2.U.16,WA,B,U,2,16,885,9,150,NA,NA,0,NA,N,0.0412000000000003,NA,NA,2019,NA,0,0,29.15315931,29.15315931,0,0.0014132259067327925,1.4132259067327926,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m8,2019-07-15,WA.B.2.U.17,WA,B,U,2,17,932,8,143,NA,NA,1,NA,NA,0.1212,NA,NA,2019,NA,0,0,44.80600394,44.80600394,0,0.002704994628896156,2.704994628896156,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m12,2019-07-15,WA.B.2.U.18,WA,B,U,2,18,803,8,108,NA,NA,0,NA,NA,0.0294999999999996,NA,NA,2019,NA,1,0.039370944,37.81616924,37.855540184,0.00104003122947485,7.79278273579307e-4,0.779278273579307,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m16,2019-07-15,WA.B.2.U.19,WA,B,U,2,19,1067,7,178,NA,NA,0,NA,NA,0.0304000000000002,NA,NA,2019,NA,0,0,47.17937074,47.17937074,0,6.443494163483241e-4,0.6443494163483241,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m20,2019-07-15,WA.B.2.U.20,WA,B,U,2,20,555,8.5,115,NA,NA,1,NA,NA,0.0339,NA,NA,2019,NA,1,3.434602502,28.18997343,31.624575932,0.108605488003544,0.001071951132969899,1.071951132969899,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m4,2019-07-15,WA.B.3.U.16,WA,B,U,3,16,375,5,94,NA,NA,1,NA,N,1.4058,NA,NA,2019,NA,0,0,8.354532294,8.354532294,0,0.168267947328375,168.267947328375,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m8,2019-07-15,WA.B.3.U.17,WA,B,U,3,17,675,8,140,NA,NA,1,NA,N,0.8154,NA,NA,2019,NA,0,0,43.40518935,43.40518935,0,0.01878577221320197,18.78577221320197,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m12,2019-07-15,WA.B.3.U.18,WA,B,U,3,18,900,8,188,NA,NA,1,NA,N,0.8773,NA,NA,2019,NA,1,8.679153818,51.18753059,59.866684408,0.144974686736455,0.014654227283092467,14.654227283092467,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m16,2019-07-15,WA.B.3.U.19,WA,B,U,3,19,1037,8,264,NA,NA,0,NA,N,0.5924,NA,NA,2019,NA,0,0,74.95681219,74.95681219,0,0.007903217635488402,7.903217635488402,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m20,2019-07-15,WA.B.3.U.20,WA,B,U,3,20,830,10,188,NA,NA,0,NA,N,1.6174,NA,NA,2019,NA,0,0,61.805227,61.814934904,0,0.026165197820103816,26.165197820103817,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,1,0,WA_B
m4,2019-07-15,WA.B.4.L.16,WA,B,L,4,16,735,9,145,NA,NA,1,NA,Y,0.0181,NA,NA,2019,NA,1,7.154689293,47.56991612,54.724605413,0.1307398973278,3.30747017057528e-4,0.330747017057528,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m8,2019-07-15,WA.B.4.L.17,WA,B,L,4,17,1050,NA,NA,NA,NA,1,NA,NA,0.0817999999999999,NA,NA,2019,NA,1,5.753065709,68.25100559,74.004071299,0.0777398541460751,0.0011053445920495627,1.1053445920495626,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m12,2019-07-15,WA.B.4.L.18,WA,B,L,4,18,1033,9,190,NA,NA,1,NA,NA,0.0459000000000001,NA,NA,2019,NA,0,0,58.66551107,58.66551107,0,7.824017751286949e-4,0.7824017751286949,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m16,2019-07-15,WA.B.4.L.19,WA,B,L,4,19,955,9,168,NA,NA,1,NA,NA,0.1739,NA,NA,2019,NA,0,0,53.31111661,53.31111661,0,0.0032619838236023773,3.2619838236023773,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m20,2019-07-15,WA.B.4.L.20,WA,B,L,4,20,1063,10,245,NA,NA,1,NA,NA,0.6358,NA,NA,2019,NA,1,2.05791385,104.6845536,106.74246745,0.0192792418908993,0.005956392195054135,5.956392195054135,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m4,2019-07-15,WA.B.5.L.16,WA,B,L,5,16,928,8,180,NA,NA,0,NA,Y,0.036,NA,NA,2019,NA,0,0,35.73758115,35.73758115,0,0.0010073429382055422,1.007342938205542,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m8,2019-07-15,WA.B.5.L.17,WA,B,L,5,17,1186,8,194.5,NA,NA,1,NA,N,0.157,NA,NA,2019,NA,1,0.069033984,86.22511793,86.294151914,7.9998450032626e-4,0.0018193585140794343,1.8193585140794342,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m12,2019-07-15,WA.B.5.L.18,WA,B,L,5,18,1219,9,278,NA,NA,1,NA,N,0.1354,NA,NA,2019,NA,1,4.722823386,76.98540457,81.708227956,0.0578010746793242,0.0016571158546347755,1.6571158546347755,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m16,2019-07-15,WA.B.5.L.19,WA,B,L,5,19,1238,10,204,NA,NA,0,NA,Y,0.4277,NA,NA,2019,NA,0,0,23.18103654,23.18103654,0,0.018450426030862898,18.450426030862896,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m20,2019-07-15,WA.B.5.L.20,WA,B,L,5,20,462,6,45,NA,NA,1,NA,N,0.1237,NA,"Sheath was broken, not full length",2019,NA,1,0.1450073216,9.443057997,9.5880653186,0.0151237310950207,0.012901455704523928,12.901455704523928,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m4,2019-07-15,WA.B.6.L.16,WA,B,L,6,16,1082,8.5,206,NA,NA,1,NA,N,0.1639,NA,NA,2019,NA,1,4.521078758,67.68650895,72.207587708,0.0626122392605438,0.002269844557926441,2.269844557926441,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m8,2019-07-15,WA.B.6.L.17,WA,B,L,6,17,1090,8,245,NA,NA,1,NA,Y,0.0331000000000001,NA,NA,2019,NA,1,0.1646568384,39.19616577,39.3608226084,0.00418326720551975,8.409377092880225e-4,0.8409377092880225,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m12,2019-07-15,WA.B.6.L.18,WA,B,L,6,18,771,9,140,NA,NA,1,NA,N,0.3297,NA,NA,2019,NA,1,1.823683699,52.72493899,54.548622689,0.0334322593147298,0.006044148939923384,6.044148939923384,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m16,2019-07-15,WA.B.6.L.19,WA,B,L,6,19,323,6,65,NA,NA,0,NA,N,0.0235000000000003,NA,NA,2019,NA,0,0,15.82945658,15.82945658,0,0.0014845740206705376,1.4845740206705376,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m20,2019-07-15,WA.B.6.L.20,WA,B,L,6,20,700,8,135,NA,NA,1,NA,Y,0.9547,NA,NA,2019,NA,0,0,42.42557195,42.42557195,0,0.02250293764159849,22.50293764159849,1.0363166666666666,-0.29796000446865656,-0.3598245411029858,6.5753131313131075,10.745111111111068,12.265402960754061,17.422090909090702,11.5813,1.7781512503836436,-1.58362821451434,-1.6046888203830107,-1.0184307276045512,-1.0331892044416422,-1.8394304805481723,-1.8394304805481723,48.48291883333333,31,28,0,0,WA_B
m4,2019-07-18,WA.C.1.U.16,WA,C,U,1,16,680,6,80,NA,NA,1,NA,Y,0.0798000000000001,NA,NA,2019,NA,1,19.09888089,15.70783811,34.806719,0.548712473876093,0.0022926607934519797,2.29266079345198,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m8,2019-07-18,WA.C.1.U.17,WA,C,U,1,17,465,5,105,NA,NA,1,NA,Y,0.0588000000000002,NA,NA,2019,NA,1,6.74249888,7.413728531,14.156227411,0.476292071626427,0.0041536490120461095,4.15364901204611,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m12,2019-07-18,WA.C.1.U.18,WA,C,U,1,18,680,7,140,NA,NA,1,NA,Y,0.0894000000000001,NA,NA,2019,NA,1,15.08056369,9.841046106,24.921609796,0.60511996670538,0.003587248204742741,3.5872482047427408,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m16,2019-07-18,WA.C.1.U.19,WA,C,U,1,19,490,5,83,NA,NA,1,NA,Y,0.0543,NA,NA,2019,NA,1,5.757667974,6.119467174,11.877135148,0.484769088021158,0.004571809558733835,4.571809558733835,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m20,2019-07-18,WA.C.1.U.20,WA,C,U,1,20,755,4,147,NA,NA,1,NA,Y,0.0928999999999998,NA,NA,2019,NA,1,24.90582547,17.15498098,42.06080645,0.592138562526302,0.0022087070563051414,2.2087070563051414,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m4,2019-07-18,WA.C.2.U.16,WA,C,U,2,16,410,7,110,NA,NA,1,NA,Y,0.0917999999999999,NA,NA,2019,NA,1,11.27479566,12.07235391,23.34714957,0.482919579805476,0.003931957506194188,3.931957506194188,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m8,2019-07-18,WA.C.2.U.17,WA,C,U,2,17,740,6,130,NA,NA,1,NA,Y,0.1008,NA,NA,2019,NA,1,22.02829485,22.01402064,44.04231549,0.500162051084749,0.0022887080045300317,2.2887080045300316,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m12,2019-07-18,WA.C.2.U.18,WA,C,U,2,18,340,4.5,60,NA,NA,1,NA,Y,0.0392999999999999,NA,NA,2019,NA,1,2.940380301,7.567634765,10.508015066,0.279822619451124,0.003740002250963645,3.740002250963645,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m16,2019-07-18,WA.C.2.U.19,WA,C,U,2,19,630,6,174,NA,NA,1,NA,Y,0.0532999999999999,NA,NA,2019,NA,1,3.348633619,29.75594824,33.104581859,0.101153176719241,0.0016100490326993652,1.6100490326993653,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m20,2019-07-18,WA.C.2.U.20,WA,C,U,2,20,550,6,125,NA,NA,1,NA,Y,0.0948,NA,NA,2019,NA,1,6.905160205,22.294633,29.199793205,0.236479763966876,0.0032465983349418723,3.246598334941872,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m4,2019-07-18,WA.C.3.U.16,WA,C,U,3,16,625,5.5,165,NA,NA,1,NA,Y,0.0983000000000001,NA,NA,2019,NA,1,1.977410157,22.77808662,24.755496777,0.0798776196984738,0.0039708352809679544,3.9708352809679544,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m8,2019-07-18,WA.C.3.U.17,WA,C,U,3,17,803,6,139,NA,NA,1,NA,N,0.0243,NA,NA,2019,NA,1,0.692497152,11.6726759,12.365173052,0.0560038382874061,0.001965196920237975,1.965196920237975,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m12,2019-07-18,WA.C.3.U.18,WA,C,U,3,18,904,7,206,NA,NA,1,NA,Y,0.0179,NA,NA,2019,NA,1,4.684746829,35.31694127,40.001688099,0.117113728235812,4.474811151894232e-4,0.44748111518942324,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m16,2019-07-18,WA.C.3.U.19,WA,C,U,3,19,505,5,138,NA,NA,1,NA,N,0.0148999999999999,NA,NA,2019,NA,1,14.07588552,40.87112079,54.94700631,0.256172018555236,2.711703694271729e-4,0.2711703694271729,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m20,2019-07-18,WA.C.3.U.20,WA,C,U,3,20,771,6,235,NA,NA,1,NA,N,0.0306999999999999,NA,NA,2019,NA,1,2.503920128,24.72157304,27.225493168,0.0919696885764049,0.0011276196104349628,1.1276196104349627,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,1,0,WA_C
m4,2019-07-18,WA.C.4.L.16,WA,C,L,4,16,1026,8,225,NA,NA,1,NA,Y,0.0425,NA,NA,2019,NA,1,5.484426432,34.37913976,39.863566192,0.137579924625525,0.0010661364263122323,1.0661364263122324,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,0,0,WA_C
m8,2019-07-18,WA.C.4.L.17,WA,C,L,4,17,893,6,195,NA,NA,1,NA,N,0.0233000000000001,NA,NA,2019,NA,1,24.84056678,22.55653068,47.39709746,0.524094683244344,4.915912840372504e-4,0.49159128403725044,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,0,0,WA_C
m12,2019-07-18,WA.C.4.L.18,WA,C,L,4,18,499,6.5,151,NA,NA,1,NA,Y,0.0269999999999999,NA,NA,2019,NA,1,1.50382624,19.2996727,20.80349894,0.0722871784374941,0.0012978585995495958,1.2978585995495957,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,0,0,WA_C
m16,2019-07-18,WA.C.4.L.19,WA,C,L,4,19,696,7,135,NA,NA,1,NA,N,0.0493999999999999,NA,NA,2019,NA,1,9.552074163,25.00135843,34.553432593,0.276443567141723,0.0014296698270726247,1.4296698270726247,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,0,0,WA_C
m20,2019-07-18,WA.C.4.L.20,WA,C,L,4,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Collected flowering shoot by mistake,2019,NA,NA,NA,NA,NA,NA,NA,NA,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,0,0,WA_C
m4,2019-07-18,WA.C.5.L.16,WA,C,L,5,16,729,7,149,NA,NA,1,NA,N,0.0328999999999999,NA,NA,2019,NA,1,5.78961417,31.32866464,37.11827881,0.155977441724486,8.86355753950971e-4,0.886355753950971,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,0,0,WA_C
m8,2019-07-18,WA.C.5.L.17,WA,C,L,5,17,837,7,164,NA,NA,1,NA,Y,0.0496999999999999,NA,NA,2019,NA,1,1.582729926,29.27923622,30.861966146,0.0512841572864319,0.0016103964266204562,1.6103964266204562,0.8946666666666666,0.8743895159954315,0.8404644568405182,10.649242424242424,13.795595959595948,1.8934483732573733,23.252676767676604,13.0605,1.4366925976640543,-1.4343578347004347,-1.441442512366907,0.7864940153267391,0.7548373527534806,-1.9483692661117056,-1.9483692661117056,48.69187516666666,25,21,0,0,WA_C
